school,color,logo
Northwestern,#582c83,http://a.espncdn.com/i/teamlogos/ncaa/500/77.png
Notre Dame,#0c2340,http://a.espncdn.com/i/teamlogos/ncaa/500/87.png
Ohio,#295A29,http://a.espncdn.com/i/teamlogos/ncaa/500/195.png
Ohio State,#ce1141,http://a.espncdn.com/i/teamlogos/ncaa/500/194.png
Oklahoma,#a32036,http://a.espncdn.com/i/teamlogos/ncaa/500/201.png
Oklahoma State,#FF7300,http://a.espncdn.com/i/teamlogos/ncaa/500/197.png
Old Dominion,#00507d,http://a.espncdn.com/i/teamlogos/ncaa/500/295.png
Ole Miss,#13294b,http://a.espncdn.com/i/teamlogos/ncaa/500/145.png
Oregon,#007030,http://a.espncdn.com/i/teamlogos/ncaa/500/2483.png
Oregon State,#231f20,http://a.espncdn.com/i/teamlogos/ncaa/500/204.png
Penn State,#041E42,http://a.espncdn.com/i/teamlogos/ncaa/500/213.png
Pittsburgh,#003263,http://a.espncdn.com/i/teamlogos/ncaa/500/221.png
Purdue,#000000,http://a.espncdn.com/i/teamlogos/ncaa/500/2509.png
Rice,#d1d5d8,http://a.espncdn.com/i/teamlogos/ncaa/500/242.png
Rutgers,#d21034,http://a.espncdn.com/i/teamlogos/ncaa/500/164.png
Sam Houston,#fe5000,http://a.espncdn.com/i/teamlogos/ncaa/500/2534.png
San Diego State,#c41230,http://a.espncdn.com/i/teamlogos/ncaa/500/21.png
San José State,#005893,http://a.espncdn.com/i/teamlogos/ncaa/500/23.png
SMU,#354ca1,http://a.espncdn.com/i/teamlogos/ncaa/500/2567.png
South Alabama,#00205B,http://a.espncdn.com/i/teamlogos/ncaa/500/6.png
South Carolina,#73000a,http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png
Southern Miss,#FFAA3C,http://a.espncdn.com/i/teamlogos/ncaa/500/2572.png
South Florida,#004A36,http://a.espncdn.com/i/teamlogos/ncaa/500/58.png
Stanford,#8c1515,http://a.espncdn.com/i/teamlogos/ncaa/500/24.png
Syracuse,#ff6500,http://a.espncdn.com/i/teamlogos/ncaa/500/183.png
TCU,#4d1979,http://a.espncdn.com/i/teamlogos/ncaa/500/2628.png
Temple,#A80532,http://a.espncdn.com/i/teamlogos/ncaa/500/218.png
Tennessee,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2633.png
Texas,#c15d26,http://a.espncdn.com/i/teamlogos/ncaa/500/251.png
Texas A&M,#500000,http://a.espncdn.com/i/teamlogos/ncaa/500/245.png
Texas State,#4e1719,http://a.espncdn.com/i/teamlogos/ncaa/500/326.png
Texas Tech,#CC0000,http://a.espncdn.com/i/teamlogos/ncaa/500/2641.png
Toledo,#0a2240,http://a.espncdn.com/i/teamlogos/ncaa/500/2649.png
Troy,#AE0210,http://a.espncdn.com/i/teamlogos/ncaa/500/2653.png
Tulane,#006547,http://a.espncdn.com/i/teamlogos/ncaa/500/2655.png
Tulsa,#003595,http://a.espncdn.com/i/teamlogos/ncaa/500/202.png
UAB,#003b28,http://a.espncdn.com/i/teamlogos/ncaa/500/5.png
UCF,#ba9b37,http://a.espncdn.com/i/teamlogos/ncaa/500/2116.png
UCLA,#2774ae,http://a.espncdn.com/i/teamlogos/ncaa/500/26.png
UConn,#0c2340,http://a.espncdn.com/i/teamlogos/ncaa/500/41.png
UL Monroe,#231F20,http://a.espncdn.com/i/teamlogos/ncaa/500/2433.png
UNLV,#b10202,http://a.espncdn.com/i/teamlogos/ncaa/500/2439.png
USC,#9e2237,http://a.espncdn.com/i/teamlogos/ncaa/500/30.png
Utah,#ea002a,http://a.espncdn.com/i/teamlogos/ncaa/500/254.png
Utah State,#00263a,http://a.espncdn.com/i/teamlogos/ncaa/500/328.png
UTEP,#ff8200,http://a.espncdn.com/i/teamlogos/ncaa/500/2638.png
UTSA,#002A5C,http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png
Vanderbilt,#866d4b,http://a.espncdn.com/i/teamlogos/ncaa/500/238.png
Virginia,#232d4b,http://a.espncdn.com/i/teamlogos/ncaa/500/258.png
Virginia Tech,#630031,http://a.espncdn.com/i/teamlogos/ncaa/500/259.png
Wake Forest,#9E7E38,http://a.espncdn.com/i/teamlogos/ncaa/500/154.png
Washington,#33006f,http://a.espncdn.com/i/teamlogos/ncaa/500/264.png
Washington State,#981e32,http://a.espncdn.com/i/teamlogos/ncaa/500/265.png
Western Kentucky,#F32026,http://a.espncdn.com/i/teamlogos/ncaa/500/98.png
Western Michigan,#532e1f,http://a.espncdn.com/i/teamlogos/ncaa/500/2711.png
West Virginia,#002855,http://a.espncdn.com/i/teamlogos/ncaa/500/277.png
Wisconsin,#c4012f,http://a.espncdn.com/i/teamlogos/ncaa/500/275.png
Wyoming,#492f24,http://a.espncdn.com/i/teamlogos/ncaa/500/2751.png
